AAAI,Artificial Intelligence
CTW,Cologne-Twente Workshop on Graphs and Combinatorial Optimization
CiE,Computability in Europe
CooPMAS,Cooperative Games and Multiagent Systems
DAIS,Distributed Applications and Interoperable Systems
DCC,Data Compression Conference
DCFS,Descriptional Complexity of Formal Systems
DCM,Developments in Computational Models
DEBS,Distributed and Event-Based Systems
DEON,Deontic Logic and Normative Systems
DISC,Distributed Computing
DL,Description Logics
DLT,Developments in Language Theory
DSAA,Data Science and Advanced Analytics
DaLí,Dynamic Logic: new trends and applications
Datalog 2.0,Datalog 2.0
DisCoTec,Distributed Computing Techniques
EC,Economics and Computation
ECAI,European Conference on Artificial Intelligence
ECMFA,European Conference on Modelling Foundations and Applications
ECSQARU,European Conference on Symbolic and Quantitative Approaches to Reasoning with Uncertainty
EDBT,Extending Database Technology
EISA,Emerging Information Security and Applications
EMAS,Engineering Multi-Agent Systems
EML,Evolutionary Machine Learning
EPIA,Portuguese Conference on Artificial Intelligence
ESA,European Symposium on Algorithms
ESOP,European Symposium on Programming
ESORICS,European Symposium on Research in Computer Security
ETAPS,European Joint Conferences on Theory & Practice of Software
EUMAS,European Conference on Multi-Agent Systems
EURO,EURO
EUROCRYPT,Theory and Applications of Cryptographic Techniques
Euro-Par,European Conference on Parallel and Distributed Computing
EuroCG,European Workshop on Computational Geometry
EuroGP,European Conference on Genetic Programming
Eurocomb,"European Conference on Combinatorics, Graph Theory and Applications"
EvoAPPS,Applications of Evolutionary Computation
EvoCOP,Evolutionary Computation in Combinatorial Optimisation
EvoMUSART,"Artificial Intelligence in Music, Sound, Art and Design"
EvoStar,evo*
FACS,Formal Aspects of Component Software
FASE,Fundamental Approaches to Software Engineering
FCDS,Financial Cryptography and Data Security
FCRC,Federated Computing Research Conference
FCT,Fundamentals of Computation Theory
FLAIRS,FLAIRS
FLOPS,Functional and Logic Programming
FLoC,Federated Logic Conference
FM,Formal Methods
FMCAD,Formal Methods in Computer-Aided Design
FMICS,Formal Methods for Industrial Critical Systems
FOCS,Foundations of Computer Science
FOIS,Formal Ontology in Information Systems
FORMATS,Formal Modeling and Analysis of Timed Systems
FORTE,"Formal Techniques for Distributed Objects, Components, and Systems"
FROM,Working Formal Methods Symposium
FSCD,Formal Structures for Computation and Deduction
FSTTCS,Foundations of Software Technology and Theoretical Computer Science
FTSCS,Formal Techniques for Safety-Critical Systems
FUN,Fun With Algorithms
FedCSIS,Federated Conference on Computer Science and Information Systems
FoIKS,Foundations of Information and Knowledge Systems
FoSSaCS,Foundations of Software Science and Computation Structures
FroCoS,Frontiers of Combining Systems
GD,Graph Drawing
GECCO,Genetic and Evolutionary Computation Conference
GETCO,Geometric and Topological Methods in Computer Science
GandALF,"Games, Automata, Logics, and Formal Verification"
HALG,Highlights of Algorithms
HOR,Higher-Order Rewriting
ICALP,"International Colloquium on Automata, Languages and Programming"
ICAPS,International Conference on Automated Planning and Scheduling
ICCS,International Conference on Conceptual Structures
ICDCN,International Conference on Distributed Computing and Networking
ICDCS,International Conference on Distributed Computing Systems
ICDT,International Conference on Database Theory
ICFCA,International Conference on Formal Concept Analysis
ICFP,International Conference on Functional Programming
ICGT,International Conference on Graph Transformation
ICGraThe,International Conference on Graph Theory
ICICS,International Conference on Information and Communications Security
ICLP,International Conference on Logic Programming
ICML,International Conference on Machine Learning
ICTAC,International Colloquium on Theoretical Aspects of Computing
ICTAI,International Conference on Tools with Artificial Intelligence
ICTCS,Italian Conference on Theoretical Computer Science
IDA,Intelligent Data Analysis
IJCAI,International Joint Conference on Artificial Intelligence
IJCAR,International Joint Conference on Automated Reasoning
IJCKG,International Joint Conference on Knowledge Graphs
ILP,Inductive Logic Programming
IOTSMS,"Internet of Things: Systems, Management and Security"
IPCO,Integer Programming and Combinatorial Optimization
IPDPS,International Parallel &  Distributed Processing Symposium
IPEC,International Symposium on Parameterized and Exact Computation
ISAAC,International Symposium on Algorithms and Computation
ISCO,International Symposium on Combinatorial Optimization
ISPDC,International Symposium on Parallel and Distributed Computing
ISPEC,Information Security Practice and Experience
ISSAC,International Symposium on Symbolic and Algebraic Computation
ITCS,Innovations in Theoretical Computer Science
ITP,Interactive Theorem Proving
IWC,International Workshop on Confluence
IWIL,International Workshop on the Implementation of Logics
IWOCA,International Workshop on Combinatorial Algorithms
JAF,Journées sur les Arithmétiques Faibles
JELIA,European Conference on Logics in Artificial Intelligence
K-CAP,International Conference on Knowledge Capture
KDD,Knowledge Discovery and Data Mining
KI,German Conference on Artificial Intelligence
KR,Principles of Knowledge Representation and Reasoning
LAGOS,"Latin-American Algorithms, Graphs and Optimization Symposium"
LAP,Logic and Applications
LATA,Language and Automata Theory and Applications
LATIN,Latin American Theoretical Informatics Symposium
LICS,Logic in Computer Science
LOD,"MachineLearning,Optimization,Data Science"
LOFT,Logic and the Foundations of Game and Decision Theory
LOPSTR,Logic-Based Program Synthesis and Transformation
LORI,"Logic, Rationality and Interaction"
LPAR,"Logic for Programming, Artificial Intelligence and Reasoning"
LPNMR,Logic Programming and Non-Monotonic Reasoning
LSFA,Logical and Semantic Frameworks with Applications
LearnAut,Learning and Automata
MATCH-UP,Matching Under Preferences
MFCS,Mathematical Foundations of Computer Science
MFPS,Mathematical Foundations of Programming Semantics
MIWAI,Multi-Disciplinary International Conference on Artificial Intelligence
MLCS,Machine Learning for Cybersecurity
MLN,Machine Learning for Networking
MPC,Mathematics of Program Construction
NCL,Non-Classical Logics
NFM,NASA Formal Methods
NMR,Non-Monotonic Reasoning
OLA,Optimization and Learning
OPODIS,On Principles of Distributed Systems
PAAR,Practical Aspects of Automated Reasoning
PACT,Parallel Architectures and Compilation Techniques
PADL,Practical Aspects of Declarative Languages
PATAT,Practice and Theory of Automated Timetabling
PC,Proof Complexity
PKC,Public Key Cryptography
PLP,Probabilistic Logic Programming
PODC,Principles of Distributed Computing
PODS,Principles of Database Systems
POPL,Principles of Programming Languages
PPDP,Principles and Practice of Declarative Programming
PRICAI,Pacific Rim International Conference on Artificial Intelligence
PRIMA,Principles and Practice of Multi-Agent Systems
PST,"Privacy, Security & Trust"
PaCT,Parallel Architectures and Compilation Techniques
PoS,Pragmatics of SAT
QBF,Quantified Boolean Formulas and Beyond
QEST,Quantitative Evaluation of SysTems
QUANTIFY,Workshop on Quantification
RAMiCS,Relational and Algebraic Methods in Computer Science
RANDOM,Randomization and Computation
RECOMB,Research in Computational Molecular Biology
RP,Reachability Problems
RuleML+RR,International Joint Conference on Rules and Reasoning
SAC,Symposium On Applied Computing
SAFECOMP,"Computer Safety, Reliability and Security"
SAGT,Symposium on Algorithmic Game Theory
SAND,Algorithmic Foundations of Dynamic Networks
SAS,Static Analysis Symposium
SAT,Theory and Applications of Satisfiability Testing
SC2,Satisfiability Checking and Symbolic Computation
SCAI,Scandinavian Conference on AI
SCN,Security and Cryptography for Networks
SCSS,Symbolic Computation in Software Science
SDM,Data Mining
SEA,Symposium on Experimental Algorithms
SEFM,Software Engineering and Formal Methods
SEMANTICS,Semantic Systems
SIGMOD,International Conference on Management of Data
SIROCCO,Structural Information and Communication Complexity
SISAP,Similarity Search and Applications
SLSS,Scandinavian Logic Symposium
SODA,Symposium on Discrete Algorithms
SOFSEM,Current Trends in Theory and Practice of Computer Science
SOSA,Symposium on Simplicity in Algorithms
SPAA,Symposium on Parallelism in Algorithms and Architectures
SPIN,International Symposium on Model Checking Software
SPIRE,String Processing and Information Retrieval
SPLASH,"Systems, Programming, Languages, and Applications: Software for Humanity"
STACS,Symposium on Theoretical Aspects of Computer Science
STAF,Software Technologies: Applications and Foundations
STOC,Symposium on Theory of Computing
SWAT,Scandinavian Symposium and Workshops on Algorithm Theory
SYNASC,Symbolic and Numeric Algorithms for Scientific Computing
SmartData,Smart Data
SoCG,Symposium on Computational Geometry
SoCS,Symposium on Combinatorial Search
TABLEAUX,Automated Reasoning with Analytic Tableaux and Related Methods
TACAS,Tools and Algorithms for the Construction and Analysis of Systems
TACL,"Topology, Algebra, and Categories in Logic"
TAMC,Theory and Applications of Models of Computation
TAP,Tests and Proofs
TASE,Theoretical Aspects of Software Engineering
TERMGRAPH,Computing with Terms and Graphs
TIME,Temporal Representation and Reasoning
TPNC,Theory and Practice of Natural Computing
TYPES,Types for Proofs and Programs
TbiLLC,"Tbilisi Symposium on Logic, Language and Computation"
ThEdu,Theorem proving components for Educational software
UNIF,Workshop on Unification
VMCAI,"Verification, Model Checking, and Abstract Interpretation"
VSTTE,"Verified Software: Theories, Tools, and Experiments"
WABCT,"Workshop on Algorithms, Bioinformatics, and Computation Theory"
WABI,Workshop on Algorithms in Bioinformatics
WADS,Algorithms and Data Structures
WADT,Workshop on Algebraic Development Techniques
WAIT,Workshop on Automated (Co)Inductive Theorem Proving
WALCOM,International Conference and Workshops on Algorithms and Computation
WAOA,Workshop on Approximation and Online Algorithms
WFLP,Workshop on Functional and Logic Programming
WG,Graph-Theoretic Concepts in Computer Science
WINE,Web and Internet Economics
WISE,Web Information Systems Engineering
WORDS,Combinatorics on Words
WPTE,Workshop on Rewriting Techniques for Program Transformations and Evaluation
WRLA,Workshop on Rewriting Logic and its Applications
WST,Workshop on Termination
WTSC,Workshop on Trusted Smart Contracts
WoLLIC,"Workshop on Logic, Language, Information and Computation"
iFM,Integrated Formal Methods
iPRA,Interpolation: From Proofs to Applications
onto4FAIR,Ontologies for FAIR and FAIR Ontologies
